,Track,Artist,Genre,Album Title,Album Type,Release Date,Thumbnail,Acousticness,Danceability,Energy,Instrumentalness,Popularity,Speechiness,Track ID,Release Year
1553,God Only Knows - Mono,The Beach Boys,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, sunshine pop",Pet Sounds (Original Mono & Stereo Mix),album,1966-06-16,https://i.scdn.co/image/ab67616d00004851bde8dfd1922129f3d9e3732f,0.253,0.521,0.487,0.0,0.6767676767676768,0.0299,6iGU74CwXuT4XVepjc9Emf,1966
1554,Emotions,Brenda Lee,"adult standards, easy listening, lounge, rockabilly",Emotions,album,1961-04-03,https://i.scdn.co/image/ab67616d00004851f07aa5c8e8b6b285ada4a941,0.742,0.466,0.416,5.04e-06,0.6666666666666666,0.026,60jQTAr2OkFcV4SWSRz3st,1961
1555,A Whiter Shade of Pale - Original Single Version,Procol Harum,"album rock, art rock, blues rock, british blues, british invasion, classic rock, folk rock, mellow gold, progressive rock, psychedelic rock, singer-songwriter, symphonic rock",Hits'n'Flips,album,2019-05-03,https://i.scdn.co/image/ab67616d000048519021d76ad4f9b92b0a959477,0.514,0.249,0.66,0.00271,0.6666666666666666,0.0343,7DsQgIwg23u9gooCxkRTu3,2019
1556,Can't Help Falling In Love,Elvis Presley,"rock-and-roll, rockabilly",Elvis 30 #1 Hits,compilation,2002-09-24,https://i.scdn.co/image/ab67616d00004851a0b8a1ce10fddbba6879262e,0.893,0.438,0.325,5e-06,0.6666666666666666,0.0268,4hAUynwghvrqDXs1ejKNEq,2002
1557,The First Time Ever I Saw Your Face,Roberta Flack,"adult standards, disco, quiet storm, soft rock, soul, vocal jazz",First Take,album,1969-01-01,https://i.scdn.co/image/ab67616d00004851685f8851f3be611c386c7cc0,0.731,0.311,0.0264,0.00205,0.6565656565656566,0.037,0SxFyA4FqmEQqZVuAlg8lf,1969
1559,Nothing Can Change This Love,Sam Cooke,"classic soul, soul, vocal jazz",Mr. Soul,album,1963-02-01,https://i.scdn.co/image/ab67616d000048518f41b8c6db5b91d643cdfe99,0.769,0.373,0.301,0.0,0.6464646464646465,0.0314,6e6Kxot9nHyZ4I8GgmGKII,1963
1562,"Moon River (From ""Breakfast at Tiffany's"")",Andy Williams,"adult standards, easy listening",Moon River And Other Great Movie Themes,album,1962-01-01,https://i.scdn.co/image/ab67616d000048516b51b2bd0ca77a53eb4cd14c,0.86,0.281,0.212,7.73e-05,0.6464646464646465,0.031,24AIahNHzBxm9S12peXbnG,1962
1563,I Can't Stop Loving You,Ray Charles,"classic soul, jazz blues, piano blues, soul, soul blues, vocal jazz","Modern Sounds in Country and Western Music, Vols 1 & 2",album,2009-06-02,https://i.scdn.co/image/ab67616d000048517b97663666f03928ff1e4578,0.815,0.31,0.279,0.0,0.6363636363636364,0.0308,79nJj5dMyTsUzKvN5jUXsJ,2009
1565,Honey,Bobby Goldsboro,"adult standards, bubblegum pop, easy listening, merseybeat, rock-and-roll",Honey,album,1968-01-01,https://i.scdn.co/image/ab67616d00004851201052e684f13c8e20571617,0.674,0.399,0.278,0.000694,0.6161616161616161,0.0291,2Qhvi6R73Zj3cpzRYzcAww,1968
1566,I Like The Way You Love Me,Brenton Wood,souldies,Oogum Boogum,album,1967-01-01,https://i.scdn.co/image/ab67616d00004851af82af61a16d677bf22f37a1,0.81,0.477,0.267,0.0,0.6161616161616161,0.0301,0nNavzWSD6AUiQK2rLgbBx,1967
